,data
998,"['omg', '@wethekings', 'is', 'playing', 'a', 'show', 'at', 'Stetson', 'in', 'November', '..', 'if', 'it', ""'s"", 'students', 'only', ',', 'I', 'will', 'be', 'pissed']"
999,"['RT', '@TMZ', ':', 'Lindsay', 'Lohan', 'tested', 'positive', 'for', 'cocaine', 'last', 'week', 'and', 'that', 'is', 'why', 'she', 'failed', 'her', 'drug', 'test', '...', 'sources', 'tell', 'TMZ', '....', 'http://bi', '...']"
1000,"['Pope', 'says', 'religion', ""'"", ""marginalized':"", 'That', ""'s"", 'why', 'he', 'ca', ""n't"", 'get', 'a', 'headline', 'printed', 'anywhere', ',', 'because', 'religion', 'is', 'so', 'mar', '...', 'http://bit.ly/cBvt1u']"
1001,"['@JennyVeronica92', 'thats', 'whassup', '.', 'when', 'u', 'posed', 'to', 'be', 'comin', 'out', 'here']"
1002,"['@glorybeful', 'Well', '...', 'thats', 'why', 'they', 'invented', '...', 'tomorrow', '!', ':o', 'D']"
1003,"['Is', 'making', 'me', 'purchase', 'windows', ',', 'antivirus', 'and', 'office', 'when', 'i', 'buy', 'a', 'laptop', 'not', 'third', 'line', 'forcing', '?']"
1004,"['Political', 'Wire', ':', 'Bonus', 'Quote', 'of', 'the', 'Day', 'http://bit.ly/9UiOqY']"
1005,"['Man', 'i', 'hate', 'when', 'people', 'carry', 'ragedy', 'luggage', '..', 'ima', 'just', 'rip', 'it', 'up', 'more', 'with', 'the', 'belt', 'loader', '#itaintmines']"
1006,"['Today', ""'s"", 'cheer', 'went', 'from', 'awful', 'to', 'awesome', 'from', 'the', 'moment', 'I', 'realized', 'I', 'did', 'not', 'have', 'class', 'today', '.']"
1007,"['@Yeweezii', 'Jst', 'lock', 'her', 'outside', '4', 'd', 'nite', '.', 'It', 'workz', 'al', 'd', 'time', ':-D']"
1008,"['@zombie_killer94', 'aaahh', 'sorry', 'i', 'posted', 'the', 'link', 'wrong', ':(', 'basically', 'their', 'record', 'company', 'confirmed', 'the', 'title', '&lt;', 'it', 'comes', 'out', 'nov', '23', 'XD']"
1009,"[""IT'S"", 'FRIDAY', ""I'M"", '(', 'NOT', ')', 'IN', 'LOVEEE']"
1010,"['@Mayuko_115', ""You're"", 'welcome', '!', 'Yes', ',', 'it', 'saved', 'a', 'lot', 'of', 'time', ',', 'although', 'i', 'still', 'had', 'a', 'few', 'twits', 'i', 'wanted', 'to', '#ff', 'that', ""weren't"", 'on', 'the', '@ffhelper', 'list']"
1011,"['RT', '@geriatricus', ':', 'May', 'we', 'all', 'reflect', 'on', 'the', 'workings', 'of', 'our', 'hearts', ',', 'and', 'in', 'our', 'acts', ',', 'with', 'our', 'Jewish', 'friends', 'and', 'loved', 'ones', 'at', 'the', 'cusp', 'o', '...']"
1012,"['Happy', 'Constitution', 'Day', '!']"
1013,"['@FATJEW', ':', 'I', 'watch', 'porn', 'movies', 'on', 'rewind', 'because', 'I', 'love', 'when', 'sex', 'ends', 'and', 'the', 'girl', 'immediately', 'puts', 'on', 'her', 'clothes', '(', 'cont', ')', 'http://tl.gd/63asgi']"
1014,"['Ha', '!', 'RT', '@julie_cook', ':', 'thanks', 'port', 'city', 'java', 'for', 'the', 'caffeine', '.', 'not', 'so', 'sure', 'my', 'coworkers', 'will', 'be', 'as', 'pleased', 'when', 'i', 'start', 'shooting', 'off', 'emails', 'at']"
1015,"['Driving', ',', 'driving', ',', 'driving', 'away', 'to', 'Phil', '.', 'Tasty', 'dinner', 'tonight', 'with', 'the', 'Society', 'of', 'Mining', 'and', 'Metallurgy', 'Engineers', '.']"
1016,"['@JuicylyJas', 'iiqht', 'im', 'bout', 'to', 'look', 'into', 'sunday', 'for', '..']"
1017,"['I', 'remember', 'when', 'you', 'all', 'were', 'thiiis', 'big', ',', 'you', 'know', '?']"
1018,"['RT', '@WeScreamAlex', ':', ""LET'S"", 'ALL', 'GET', 'WASTED', 'TONIGHT', 'OK', '?']"
1019,"['Beer', 'after', 'golf', '??', 'Give', 'me', 'a', 'hell', 'yeah', '!!', '(@', 'White', 'Eagle', ')', 'http://4sq.com/b5Wloc']"
1020,"['@krtgrphr', 'Arre', 'no', '.', 'After', 'experiencing', 'loos', 'in', 'Japan', ',', ""I'm"", 'spoiled', 'forever', '.', 'Now', 'everything', 'is', 'SulahShauchalay', 'baraabar', '.']"
1021,"['Hurry', 'up', '!', 'Brandy', 'will', 'be', 'Leaving', 'in', '2', 'days', '!', '-', '#Eskorte', 'and', '#Massasje', 'i', '#Norge']"
1022,"['My', 'mum', 'just', 'had', 'ago', 'at', 'me', 'for', 'not', 'having', 'a', 'job', 'when', 'ive', 'missed', '2', 'years', 'of', 'school', ',', 'and', 'tbh', 'if', 'im', 'gonna', 'catch', 'up', 'i', 'dont', 'have', 'time', '4', 'a', 'job', '!']"
1023,"['You', 'gotta', 'let', 'em', 'lick', 'it', 'before', 'they', 'stick', 'it']"
1024,"['ok', 'im', 'so', 'late', 'but', 'unpacking', 'finally', 'from', 'when', 'i', 'was', 'away', 'in', 'July', 'lol', '.....']"
1025,"['@sjonrefur', 'Tuesday-Fight', 'Night', ',', 'Wednesday-MvC3', 'Fight', 'Club', 'in', 'Chicago', '.', 'Pringles', ',', 'baby', '!', 'Hope', 'you', 'get', 'better', 'by', 'then', '!']"
1026,"['I', 'remember', 'when', 'you', 'all', 'were', 'thiiis', 'big', ',', 'you', 'know', '?']"
1027,"['@lukeymoore', 'you', 'not', 'playing', 'tomorrow', '?', 'Dear', 'me', ',', 'is', 'it', 'just', 'me', 'and', 'pete', ',', 'is', 'he', 'trying', 'to', 'rape', 'me']"
1028,"['@ALiNA_BlahxD', 'nein', ',', 'das', 'ist', 'die', 'von', 'meinem', 'bruder', '.', 'aber', 'bei', 'ihm', 'staubt', 'die', 'nur', 'ein', ':D', 'jetzt', 'kann', 'ich', 'schon', 'one', 'time', 'von', 'justin', 'bieber', 'und']"
1029,"['RT', '@WakaFlocka1017', ':', 'SO', 'WHEN', 'I', 'GET', 'ON', '106', 'N', 'JOKE', 'AROUND', 'YALL', 'TALK', 'ABOUT', 'ME', 'LIKE', 'A', 'DOG', 'SHAWTY', 'BUT', 'WHEN', 'I', 'BUY', '30,000', 'WORTH', 'SCHOOL', 'SUPPLY', 'N', '...']"
1030,"['Let', ""'s"", 'go', 'to', 'the', 'funny', 'bone', 'to', 'see', '@deraydavis', 'RT', '@MzT_If_UNasty', ':', 'So', 'wat', 'we', 'doing', 'tonight', '?', '@coley_baby', '@chelsea_fay11', '@hoggy_allday']"
1031,"['Good', 'prospects', 'for', 'dabigatran', 'on', 'Monday', '.', 'RT', '@DrJennyK', ':', 'FDA', 'Suggests', '#Afib', 'Drug', 'Okay', 'Even', 'Before', 'Vote', 'http://bit.ly/dpOphU', '#FDACV']"
1032,"['#aberdeen', 'RT', '@flook_firehose2010Polar', 'Bear', 'http://flook.it/c/1H1HZq', 'Sun', ',', '17', 'Oct', '2010', 'at', '10:28', 'am', 'The', 'Tunnels', 'Carnegies', 'Brae', 'Aberdeen', 'Un', '...']"
1033,"['\'""', 'We', 'still', 'need', 'eachother', 'when', 'we', 'stumble', 'and', 'fall', '..""', '""', 'We', 'both', 'know', 'our', 'heart', 'is', 'breaking', ',', 'can', 'we', 'learn', 'from', 'our', 'mistakess', '?""\'']"
1034,"['@SneakyLix', 'thx', '!', 'btw', ""i'll"", 'text', 'u', 'in', 'a', 'bit', '!', 'i', 'just', 'got', 'home', ',', 'trying', 'to', 'dL', 'some', 'songs', ',', 'and', 'gonna', 'head', 'to', 'my', ""bf's."", ""i'll"", 'text', 'u', 'when', 'i', 'get', 'there']"
1035,"['What', 'my', '#Followers', 'Doing', 'tonight', '?']"
1036,"['Knowing', 'that', 'I', 'have', 'people', 'who', 'love', 'me', 'and', 'I', 'love', 'them', 'back', 'makes', 'my', 'day']"
1037,"['Dollar', 'steady', 'versus', 'yen', 'but', 'market', 'wary', 'of', 'intervention', '|', 'Money', '...:', 'The', 'dollar', 'held', 'near', 'its', 'highest', 'in', 'a', 'month', '...', 'http://bit.ly/a0F3dO']"
1038,"['Aggressive', 'Kids', 'With', 'ADHD', 'May', 'Not', 'Need', 'Antipsychotic', 'Meds', 'http://t.co/JfGm0uH']"
1039,"['haha', 'dia', '25', 'vou', 'ver', 'a', '@bandahydrogen', 'less', 'than', '20', 'seconds', 'ago', 'via', 'web']"
1040,"['@RotaryCarClub', 'r', 'you', 'driving', 'this', 'time', '?']"
1041,"['@SeanKingston', 'Hey', 'sweety', 'have', 'a', 'great', ',', 'relaxing', 'time', ':)', 'Hugs', 'to', 'you', '!']"
1042,"['como', 'saben', 'que', 'danger', 'days', 'es', 'el', 'nombre', 'del', 'disco', '?']"
1043,"['RT', '@Purpl3_Kiss3s', ':', 'when', 'a', 'female', 'thinks', 'she', ""'s"", 'in', 'love', 'u', 'cant', 'tell', 'her', 'shit', '!']"
1044,"['(', 'via', 'POPSUGAR', ')', 'Sarah', 'Jessica', 'Parker', 'and', 'Gwen', 'Stefani', 'Wrap', 'Up', 'Another', 'Successful', 'New', 'York', 'Fashion', 'Week', ':', 'New', 'York', 'Fa', '...', 'http://bit.ly/aMaJNB']"
1045,"['RT', '@KaiWayne', ':', 'I', 'think', 'Big', 'Sam', 'was', 'misquoted', 'when', 'he', 'said', 'he', 'could', 'manage', 'Real', '.', 'What', 'he', 'actually', 'said', 'was', 'he', 'could', 'manage', 'a', 'real', 'ale', '.']"
1046,"['I', ""don't"", 'know', ',', 'how', 'to', 'be', 'fine', 'when', ""i'm"", 'not', '.', 'And', 'i', ""don't"", 'know', 'how', 'to', 'make', 'a', 'feelin', 'stop', '.']"
1047,"['I', ""don't"", 'know', 'what', 'criteria', 'does', 'MTV', 'use', 'to', 'give', 'music', 'awards', 'these', 'days', '.']"
1048,"['RT', '@OscarBlandi', ':', 'That', 'time', 'again', '!', '#FreebieFriday', 'Be', 'the', '15th', 'RT', '&lt;', 'get', 'your', 'hands', 'on', 'a', 'free', 'travel', 'size', 'pronto', 'invisible', 'dry', 'shampoo', '!']"
1049,"['I', 'need', 'a', 'syringe', 'of', 'anything', 'you', 'want', 'but', 'which', 'will', 'switch', 'me', 'off', 'till', 'tomorrow', 'noon', ',', 'anyone', '??']"
1050,"['#MedicalJobs', 'CT/Rad', 'Tech', '-', 'PRN', ':', 'TX-Fort', 'Worth', ',', 'When', 'physicians', 'own', 'the', 'hospital', ',', 'the', 'latest', 'advances', 'in', 'medical', 's', '...', 'http://bit.ly/cVPhNE']"
1051,"['@HackinTimSeeley', 'A', 'world', 'without', 'bare', 'legs', 'is', 'a', 'terrible', 'place', 'indeed', '!', 'Here', ""'s"", 'to', '6+', 'more', 'years', 'of', 'bare', 'legged', 'cassie']"
1052,"['@KatiesPizza', 'On', 'the', 'menu', 'at', '#playwithyourfood', 'this', 'Sunday', ':', 'hot', ',', 'fresh', 'ricotta', 'donuts', 'with', 'blackberries', 'and', 'honey', '.', 'http://tiny.cc/6dshg']"
1053,"['Ciroc', 'it', 'is', 'dnt', 'have', 'a', 'move', 'tonite', 'but', 'imma', 'make', '1']"
1054,"['RT', '@PhilKeoghan', ':', 'Private', 'sneak', 'peak', 'of', ""'"", 'The', 'Ride', ""'"", 'my', 'ride', 'across', 'USA', ',', 'tonight', 'only', ',', 'San', 'Francisco', '6pm', 'contact', 'Jennifer', '.', 'Gainza@nmss', '.', 'org']"
1055,"['@mychiller', 'Must', 'be', 'before', 'the', 'coffee', 'right', '@erichthewebguy']"
1056,"['O', 'happy', 'day', '.', 'My', 'local', 'grocery', 'carries', 'Hoegaarden', '.']"
1057,"['Made', 'it', 'home', '.', 'How', 'long', 'will', 'I', 'last', 'before', 'I', 'fall', 'asleep', '?']"
1058,"['Fellas', 'Do', ""n't"", 'just', 'lick', 'the', 'PussyY', ',', 'LOVE', 'IT', '!', 'enjoy', 'it', '.', 'like', 'u', 'just', 'got', 'married', '&lt;', 'the', 'preacher', 'said', 'u', 'may', 'kiss', 'the', 'bride']"
1059,"['""', 'smell', '.', '(', 'the', 'lack', 'of', 'could', 'only', 'help', 'when', 'forced', 'to', 'go', 'cowtipping', 'with', 'ram', '.', ')', '""', '-', '@jenist', 'wins', '!', 'your', 'mineral', 'water', 'is', 'in', 'the', 'mail', '.']"
1060,"['@Genuine', 'Will', 'I', 'be', 'seeing', 'you', 'at', '#typeamom', 'next', 'week', '?']"
1061,"['I', 'love', 'seeing', 'the', 'U.S.', 'Capitol', 'building', 'in', 'my', 'rearview', 'mirror', 'when', ""I'm"", 'driving', 'home', 'from', 'work', '.', '#ILoveDC']"
1062,"['RT', '@BieberPledge', ':', 'When', 'I', 'Get', 'Old', ',', 'Imma', 'Still', 'Be', 'Rockin', 'Out', 'To', ""'"", ""Baby'...Even"", 'If', 'I', 'Break', 'A', 'Hip', ';)']"
1063,"['Last', 'film', 'I', 'can', 'watch', 'on', 'a', 'decent', 'telly', 'for', 'a', 'while', 'tonight', '.', 'Kick-Ass', 'is', 'very', 'tempting', 'indeed', '.']"
1064,"['@JessicaLynne6', 'where', 'you', 'takin', 'me', 'tonight', 'after', 'u', 'get', 'off', '?', 'i', 'know', 'u', 'tryna', 'kick', 'it', '..', 'lol']"
1065,"['Win', '$100', 'Visa', 'card', '!', 'http://www.alimartell.com/index.php/2010/09/14/its-the-most-wonderful-time-of-the-year-and-im-about-to-make-it-100-better']"
1066,"['@TulsaTornado', 'Yeah', ',', ""I'm"", 'not', 'worried', '.', 'Yet', '.', 'When', 'I', 'hit', '30', ',', 'maybe', ""I'll"", 'be', 'worried', 'then', ':)']"
1067,"['RT', '@robynsuave', 'shout', 'out', '@OhNoIts_JoJo', '#teamlesbian', '#teamstud', 'ayyy', '&lt;', '--', 'all', 'day', 'everyday', 'fam', '!!!!']"
1068,"['@danibuono', 'yet', ',', 'once', 'I', 'get', 'my', 'iPhone', 'that', ""'s"", 'when', ""I'ma"", 'scream', 'TeamiPhone', 'RT', 'your_commander', ':', '_Shomari', 'lol', 'why', 'u', 'say', 'u', 'guess', '?', 'http:///T0UZh']"
1069,"['@Viic156', ""I'm"", 'Ocutta', 'Time', 'ps', 'tambn', 'la', 'amooo', 'peroo', 'la', 'otra', 'tambn', 'me', 'gustaa']"
1070,"['Everything', 'shouldber', 'cleared', 'up', 'by', 'the', 'week', 'end', '.']"
1071,"['I', 'jus', 'saw', 'his', 'ass', 'lol', 'RT', '@BLikeHer', 'Ima', 'get', 'my', 'lil', 'brother', 'wasted', 'tonight', '.']"
1072,"['New', 'boyz', 'have', 'come', 'a', 'long', 'way', 'in', 'the', 'game', 'and', 'still', 'going', 'strong', '!', '#muchlove']"
1073,"['cuz', 'this', 'isnt', 'a', 'confusing', 'phrasing', 'of', 'this', '...', 'LOL', 'r', 'u', 'busy', 'the', 'next', 'day', '?', ';)', 'RT', '@DEWsAtlaWinner', ':', '@JRKandDDubLuva', 'l', 'busy', 'day', 'the', 'next']"
1074,"['Why', 'is', 'it', 'that', 'I', 'can', 'sleep', 'when', 'I', ""shouldn't"", 'be', 'but', 'not', 'when', 'I', 'should', 'be', '???']"
1075,"['So', 'happy', 'this', 'hellish', 'week', 'is', 'over', '!', 'Nothing', 'that', 'some', 'sushi', 'and', 'sake', 'can', 'fix', ';)']"
1076,"['new', 'office', 'furniture-', 'check', ',', 'paintings', 'of', 'hubby-', 'check', ',', 'neuro', 'drink', 'stock-', 'check', ',', 'finished', 'giving', 'interview-', 'check', '.', 'time', '2', 'go', 'home', '.']"
1077,"['created', 'some', 'great', 'rum', 'based', 'sig', 'cocktails', 'for', 'a', 'tasting', 'today', ':', 'Figgy', 'Soda', 'w/', 'a', 'fresh', 'fig', 'puree', '&amp;', 'Rose', 'Press', 'w/', 'rose', 'water', '&amp;', 'edible', 'flowers']"
1078,"['Year', '10', 'is', 'a', 'bitch']"
1079,"['i', 'dunno', 'why', 'people', 'still', 'type', ""''"", 'sad', ""face''.....''smiley"", ""face''...''raised"", ""eyebrow''...when"", 'its', 'alot', 'more', 'easier', 'to', 'make', 'it']"
1080,"['@_paaaul10', '-', 'haha', 'six', '?', ';', 'o', 'woaahh', 'lol', ',', 'well', 'you', 'can', 'go', 'buy', 'some', 'when', 'you', 'get', 'outta', 'work', 'x', 'D']"
1081,"['RT', '@TRAEABN', 'Headed', 'to', 'Shreveport', 'then', 'Lake', 'Charles', '-might', 'as', 'well', 'shoot', 'through', 'dat', '#BMT', 'after', 'the', 'slab', 'show', 'in', 'Lake', 'Charles', '..']"
1082,"['@keshiaford', 'how', ""'s"", 'ur', 'day', 'going', '?']"
1083,"['@k8_walsh', ""I've"", 'been', 'out', 'of', 'the', 'loop', ',', 'but', 'is', 'Private', 'Practice', 'coming', 'back', 'this', 'year', '?']"
1084,"['@mandyjiroux', 'Mandy', 'when', 'you', 'and', 'Miley', 'will', 'upgrade', 'Miley', 'and', 'Mandy', 'show', '?', 'I', 'miss', 'the', 'videos', '.']"
1085,"[""'@stephaniebriggs"", 'Jumped', 'in', 'the', 'truck', ',', 'flipped', 'the', 'iPod', 'over', 'to', 'shuffle', ',', 'and', 'it', 'gives', 'me', '""', 'goodbye', 'moon', '"".', 'Probably', 'a', 'year', 'since', 'last', 'heard', 'it', ""!'""]"
1086,"['FUUCCCKKKK', '.', 'I', 'WAS', 'SO', 'FUCKING', 'READY', 'FOR', 'MY', 'GOD', 'DAMN', 'ALONE', 'TIME', ',', 'AND', 'IT', 'TURNS', 'OUT', 'FUCKING', 'MADI', 'HAS', 'AN', 'ILLNESS', 'AND', 'IS', 'HOME', 'W/DAD', '.', 'GOD', '.', 'DAMN', '.']"
1087,"['RT', '@IlliniCampusRec', ':', 'Orange', '&amp;', 'Blue', 'Skate', 'tonight', ',', '7:30', '-', '9:30', 'pm', '!', 'Free', 'for', 'UI', 'faculty/staff', '&amp;', 'their', 'immediate', 'families', '.', 'http://bit.ly/c1M8dr']"
1088,"['@SITSGirls', 'would', 'have', 'started', 'mine', 'a', 'year', 'earlier-', '2002ish', ',', 'when', 'I', 'first', 'got', 'to', 'college']"
1089,"['dear', 'youtube', 'why', 'does', 'it', 'take', 'so', 'long', 'to', 'upload', 'a', 'video', 'gggrrrrr']"
1090,"['RT', '@Quotealicious', ':', 'Today', ',', 'I', 'saw', 'a', 'guy', 'driving', 'a', 'Pepsi', 'truck', ',', 'drinking', 'a', 'Coke', '.', 'MLIA', '#Quotealicious']"
1091,"['RT', '@Softscrub', ':', 'This', 'week', ""'s"", '#FF', 'has', 'started', '!', 'Follow', 'us', 'for', 'a', 'chance', 'to', 'win', 'a', 'free', 'bottle', 'of', '#SoftScrub', '!']"
1092,"['RT', '@MirandaBuzz', ':', 'Were', 'working', 'til', 'midnight', 'tonight', '!', 'Sleepover', 'on', 'set', '!']"
1093,"['before', 'the', 'season', 'even', 'starts', 'i', 'will', 'not', 'respond', 'to', 'any', 'new', 'found', 'miami', 'heat', 'fans', '...']"
1094,"['I', 'miss', 'being', 'able', 'to', 'run', 'and', 'dance', 'around', 'all', 'day', 'instead', 'of', 'having', 'to', 'catch', 'my', 'breath', 'every', 'five', 'minutes', 'of', 'my', 'life', '.']"
1095,"['Today', 'was', 'a', 'good', 'day', ',', 'enjoyed', 'myself', ':)']"
1096,"['RT', '@foxyscot30', ':', 'RT', '@_CorruptedAngel', 'RT', '@tomcoates', ':', 'Bit', 'grumpy', 'about', 'the', 'bloody', 'Pope', 'clogging', 'up', 'London', 'tomorrow', '.', 'I', 'suggest', 'we', 'take', 'Gay', 'P', '...']"
1097,"['Part', '2', 'to', 'my', 'day', 'is', 'about', 'to', 'begin', '....', 'hair', 'stylist', 'flow', '...']"
1098,"['After', 'I', 'pet', 'a', 'kitten', 'on', 'JFK', ',', 'the', 'owners', 'informed', 'me', 'it', ""'s"", ""'"", 'double-pawed', ""'"", '(', 'polydactyl)', ',', 'which', 'is', '""', 'a', 'form', 'of', 'retardation', 'in', 'the', 'animal', 'kingdom', '""']"
1099,"['and', 'I', 'wonder', 'if', 'I', 'ever', 'cross', 'your', 'mind', '...', 'For', 'me', 'it', 'happens', 'all', 'the', 'time']"
1100,"['@usnOOzin', 'Ahh', 'Steve', ',', ""you're"", 'so', 'good', 'to', 'me', ',', 'every', 'week', '.', '#FF', '.', 'Thanks', 'so', 'much', '.', 'How', ""'s"", 'the', 'wife', 'recovering', '???']"
1101,"['CyberNation', 'Sky', '3D', 'enlists', 'Stephen', 'Fry', 'to', 'explain', 'the', 'technology', 'ahead', 'of', 'its', 'October', '1', 'launch', '(', 'video)', ':', 'With', 'the', 'o', '...', 'http://bit.ly/aWoRmo']"
1102,"['I', ""'ve"", 'just', 'watched', 'first', 'four', 'episodes', 'of', 'K-On', 'for', 'the', 'first', 'time', '!', ':', '3']"
1103,"['OMG-Fact', '#14906', ':', 'Jellyfish', 'have', 'existed', 'for', 'over', '500', 'million', 'years', '.', 'Back', 'in', '2007', ',', 'paleontologists', 'discovered', 'jell', '...', 'http://bit.ly/b9yY3L']"
1104,"['Lindsay', 'Lohan', 'allegedly', 'failed', 'her', 'drug', 'test', '.', 'So', 'not', 'fetch', '.', 'Quick', ',', 'let', ""'s"", 'all', 'put', 'on', 'our', 'shocked', 'faces', 'that', '23', 'days', 'of', 'rehab', 'did', ""n't"", 'work', '!']"
1105,"['I', 'won', 'an', 'election', 'today', '.', 'It', 'means', 'I', 'get', 'to', 'go', 'to', 'head', 'office', 'and', 'have', 'lots', 'of', 'meetings', '.', 'It', 'shall', 'be', 'tough', 'but', ""I'm"", 'looking', 'forward', 'to', 'it', '.']"
1106,"['Lelystad', '-', 'za', '18', 'sep', '-', 'Schrijfster', 'en', 'tekenaar', 'van', 'Vos', 'en', 'Haas', 'in', 'FlevoMeer', 'Bibliotheek', 'Lelystad', ':', '#boomagenda', 'http://bit.ly/9KzGNu']"
1107,"['@jemelehill', 'I', 'hit', 'that', 'JL', 'joint', 'when', 'it', 'came', 'out', ',', 'he', 'does', 'Teddy', 'P', 'proud', 'on', 'Wake', 'Up', '!']"
1108,"['RT', '@WakaFlocka1017', ':', 'SO', 'WHEN', 'I', 'GET', 'ON', '106', 'N', 'JOKE', 'AROUND', 'YALL', 'TALK', 'ABOUT', 'ME', 'LIKE', 'A', 'DOG', 'SHAWTY', 'BUT', 'WHEN', 'I', 'BUY', '30,000', 'WORTH', 'SCHOOL', 'SUPPLY', 'N', '...']"
1109,"['On', 'the', 'amusing', 'side', '....:', 'When', 'we', '-', 'with', 'dozens', 'of', 'other', 'journalists', '-', 'were', 'at', 'the', 'event', 'waiting', 'to', 'see', 'if', '...', 'http://fxn.ws/aAnazd']"
1110,"['Institutional', 'buying', 'lifts', 'UFlex', '30%', 'in', 'a', 'month', 'http://bit.ly/bOAk9y']"
1111,"['RT', '@LightCMS', ':', 'Day', '6', ':', 'Win', '1', 'of', '10', 'iPads', 'from', '@LightCMS', '-', 'RT', 'to', 'enter', 'or', 'read', 'more', 'http://speaklight.com/iPad']"
1112,"['RT', '@ContrarianDave', ':', 'Here', ""'s"", 'my', 'story', 'on', 'today', ""'s"", 'Forensic', 'Science', 'Comm', '.', 'meeting', ',', 'where', 'Willingham', 'probe', 'took', 'a', 'remarkable', 'turn', '.', 'http://bi', '...']"
1113,"['Just', 'tried', 'to', 'watch', 'The', 'Inbetweeners', 'for', 'the', 'first', 'time', ',', 'not', 'entirely', 'sure', 'about', 'it', '.']"
1114,"['Today', 'was', 'amazing(', ':', 'go', 'Jackets', '!', 'I', 'want', 'sum', 'steak', '!']"
1115,"['#Fancyflow', '..', 'im', 'in', 'the', 'hair', 'salon', 'right', 'now', '..', 'smh', '..', 'Friday', ',', 'its', 'packed', 'in', 'here', 'RT', '@neimanMarcus203', ':', 'Where', 'is', '@ihavesuperpower', '???']"
1116,"['I', 'heart', 'Park(ing', ')', 'Day', '!', 'Photo', 'of', 'meter', 'shark', ':', 'http://bit.ly/aQun1b']"
1117,"['Please', ',', 'I', 'wanna', 'apologize', 'in', 'advance', 'for', 'my', 'boundless', 'verbosity', 'tonight', '.', ""I'm"", 'UI(as', 'in', 'DUI', ')', 'feel', 'me', '?']"
1118,"['800', 'miles', 'to', 'see', 'clients', ',', '3', 'ACC', 'candidate/commissioner', 'meetings', ',', 'big', 'press', 'release', ',', 'making', 'it', 'to', 'Friday', '..', 'PRICELESS', '!']"
1119,"['Fave', 'Looks', 'from', 'SS', '2011', 'Fashion', 'Week', ':', 'Jason', 'Wu', 'read', 'more', 'http://bit.ly/brsV4V']"
1120,"['@lofolulu', 'RT', '@couponprincess', ':', 'Please', 'vote', 'for', 'me', 'to', 'be', 'a', 'Deal', 'Pro', 'in', 'Chicago', 'in', 'November', '!', 'TY', 'http://bit.ly/cgmnoX', '-', 'DO', 'WHAT', '@LOFOLULU', 'SAYS', '!']"
1121,"[""'ive"", 'been', 'driving', 'all', 'over', 'the', 'place', 'today', 'and', 'this', 'is', 'the', '7th', 'time', 'ive', 'heard', '""', 'dynamite', '""', 'on', 'the', 'radio', '.', '#loveit', ""though'""]"
1122,"['Rep', '.', 'Bono', 'Mack', 'to', 'criticize', 'fellow', 'desert', 'dweller', 'Barbara', 'Boxer', 'at', 'event', 'today', '.', 'http://tinyurl.com/2bhyuq7']"
1123,"['REFINERY29', 'STALKS', ""LA'S"", 'MOST', 'FASHIONABLE', 'FEMMES', 'FROM', 'LAST', 'WEEK', ""VB'S"", 'PARISIAN', 'BREAKFAST', '.', 'MERCI', ',', 'MERCI', '!', 'XX', 'http://ow.ly/2G4KX']"
1124,"['I', 'HATE', 'MY', 'MOTHER', '!!!!!!!!!!!...', 'Where', 'is', 'Dee', 'when', 'I', 'need', 'him']"
1125,"['@klutzy_girl', '@ratherastory', 'I', 'wrote', '74,000', 'words', 'in', 'February', '.']"
1126,"['@niamh_schnapps', 'fuckin', 'yeaaaaaa', 'march', '1st', 'omgomg', 'best', 'news', '!!!!']"
1127,"['""', 'why', 'is', 'it', 'you', 'always', 'look', 'seriously', 'stoned', 'when', 'i', 'see', 'you', '?', '""', '-', '-', '&gt;', 'Danny', '.', 'lol', 'good', 'god', '!', '(', ':']"
1128,"['@ethernat', 'You', 'know', 'me', ',', 'if', 'I', 'can', 'be', 'kind', 'and', 'guilt', 'you', 'at', 'the', 'same', 'time', ',', 'well', ',', 'my', 'job', 'is', 'done', ':)']"
1129,"['Maybe', 'if', ""I'd"", 'told', 'you', 'the', 'right', 'words', 'At', 'the', 'right', 'time', ""You'd"", 'be', 'mine']"
1130,"['@BieberEgypt', ""I've"", 'got', 'some', 'bad', 'news', ',', 'Yeah', 'I', 'cant', 'come', 'to', 'the', 'meeting', 'tomorrow', '.', ':', 'S']"
1131,"['RT', '@LoveQuotesx', ':', 'Have', 'you', 'ever', 'noticed', 'that', 'the', 'worst', 'way', 'to', 'miss', 'someone', 'is', 'when', 'they', 'are', 'right', 'beside', 'you', 'and', 'you', 'can', 'never', 'have', 'them', '?']"
1132,"['@DudeImSuchATeen', 'Ooo', 'I', 'do', '!!', 'It', 'would', 'make', 'THiS', 'day', 'better', ':-/']"
1133,"['RT', '@TheLoveStories', ':', 'When', 'people', 'are', 'mad', 'at', 'you', ',', ""don't"", 'ever', 'forget', 'what', 'they', 'say', ',', 'because', 'they', 'MEAN', 'every', 'single', 'word', 'they', 'say', '!', '#TLS']"
1134,"['DING', 'DONG', 'DING', 'DONG', 'guess', 'who', ""'s"", 'comin', 'dinner', 'tonight', '?', 'U', 'gonna', 'be', 'part', 'of', 'my', 'meal', 'tonight', '.......']"
1135,"['@tach47', 'Did', 'not', 'know', 'I', 'would', 'be', 'moving', 'there', 'til', 'Wednesday', ',', 'had', 'no', 'advanced', 'notice', 'or', 'else', 'I', 'would', 'have', 'it', 'on', 'and', 'working', 'Saturday', 'morning', '!']"
